date,district,gender,age_group,income_level,urban_rural,sales_amt_inr,cost_amt_inr,profit_amt_inr,margin_pct,month
2024-02-01,Other,Male,0-17,Upper-middle,Urban,98.07,82.38,15.69,16.0,2024-02
2024-12-30,Ahmedabad,Male,51-65,Low,Urban,67.01,58.86,8.15,12.16,2024-12
2023-05-11,Other,Female,26-35,Middle,Urban,171.97,157.94,14.03,8.16,2023-05
2024-07-18,Other,Female,18-25,Low,Urban,104.9,96.85,8.06,7.68,2024-07
2024-02-05,Rajkot,Female,26-35,Middle,Rural,60.72,56.15,4.57,7.53,2024-02
2024-01-01,Gandhinagar,Female,51-65,Low,Rural,137.01,133.2,3.81,2.78,2024-01
2023-11-11,Other,Male,0-17,Lower-middle,Urban,85.19,76.25,8.94,10.5,2023-11
2021-05-02,Bhavnagar,Female,0-17,Lower-middle,Urban,61.18,53.79,7.39,12.08,2021-05
2022-04-12,Other,Female,0-17,Lower-middle,Rural,80.06,72.12,7.95,9.93,2022-04
2024-05-23,Surat,Female,0-17,High,Urban,147.74,143.27,4.47,3.03,2024-05
2021-11-27,Vadodara,Female,18-25,Middle,Urban,86.45,82.63,3.82,4.42,2021-11
2021-03-29,Other,Female,51-65,Upper-middle,Urban,203.01,174.25,28.76,14.17,2021-03
2024-10-28,Other,Female,26-35,Low,Rural,97.03,89.7,7.34,7.56,2024-10
2024-01-29,Ahmedabad,Female,36-50,Low,Urban,115.77,95.34,20.42,17.64,2024-01
2023-05-22,Surat,Female,0-17,Lower-middle,Urban,82.23,73.88,8.35,10.15,2023-05
2021-05-11,Bhavnagar,Male,18-25,Upper-middle,Urban,163.46,163.46,0.0,0.0,2021-05
2024-08-25,Other,Female,51-65,Low,Urban,67.16,63.41,3.75,5.58,2024-08
2023-02-09,Ahmedabad,Female,18-25,Low,Urban,92.72,80.57,12.16,13.11,2023-02
2021-12-10,Gandhinagar,Male,51-65,Middle,Urban,132.79,113.72,19.07,14.36,2021-12
2024-12-08,Rajkot,Male,36-50,Upper-middle,Rural,83.5,72.92,10.58,12.67,2024-12
2023-03-17,Ahmedabad,Female,26-35,Lower-middle,Urban,130.32,113.38,16.94,13.0,2023-03
2022-01-21,Other,Female,0-17,Low,Rural,42.05,36.31,5.74,13.65,2022-01
2024-04-30,Other,Male,36-50,Upper-middle,Urban,59.87,55.45,4.42,7.38,2024-04
2023-08-14,Ahmedabad,Male,51-65,Middle,Urban,144.56,135.83,8.72,6.03,2023-08
2021-10-04,Surat,Male,0-17,Upper-middle,Rural,99.07,92.57,6.49,6.56,2021-10
2024-03-30,Surat,Male,0-17,Low,Urban,66.21,58.79,7.41,11.2,2024-03
2022-04-05,Ahmedabad,Male,36-50,Low,Urban,72.71,63.39,9.32,12.82,2022-04
2024-08-30,Gandhinagar,Female,36-50,Low,Urban,64.23,52.79,11.44,17.8,2024-08
2021-01-22,Bhavnagar,Female,26-35,Low,Urban,49.37,42.93,6.45,13.06,2021-01
2021-09-10,Rajkot,Female,26-35,Upper-middle,Urban,96.62,86.25,10.37,10.73,2021-09
2023-01-18,Other,Male,26-35,Low,Rural,47.97,43.32,4.64,9.68,2023-01
2023-05-07,Other,Female,26-35,Upper-middle,Urban,94.42,91.16,3.26,3.45,2023-05
2022-04-20,Other,Female,0-17,Middle,Urban,179.35,168.76,10.59,5.9,2022-04
2023-12-19,Rajkot,Male,36-50,Upper-middle,Urban,137.23,119.36,17.87,13.02,2023-12
2022-05-26,Gandhinagar,Male,26-35,Lower-middle,Rural,158.09,147.31,10.78,6.82,2022-05
2022-12-01,Surat,Female,51-65,Lower-middle,Urban,79.36,66.44,12.92,16.28,2022-12
2023-09-03,Other,Female,66+,Upper-middle,Urban,147.77,131.65,16.12,10.91,2023-09
2021-07-09,Ahmedabad,Female,0-17,Low,Urban,111.49,104.07,7.42,6.65,2021-07
2023-08-16,Vadodara,Male,36-50,Upper-middle,Rural,140.77,126.94,13.82,9.82,2023-08
2022-11-18,Surat,Female,66+,Middle,Rural,41.61,40.24,1.38,3.31,2022-11
2023-08-16,Surat,Male,36-50,Low,Rural,57.49,53.73,3.77,6.55,2023-08
2022-07-17,Other,Female,18-25,Lower-middle,Rural,108.53,96.92,11.61,10.69,2022-07
2024-06-21,Other,Female,51-65,Middle,Urban,135.98,128.14,7.84,5.77,2024-06
2023-04-12,Ahmedabad,Male,36-50,Low,Urban,81.36,69.14,12.22,15.02,2023-04
2024-02-29,Surat,Male,26-35,Low,Rural,76.58,71.08,5.5,7.19,2024-02
2022-10-09,Other,Male,26-35,Lower-middle,Rural,56.77,52.83,3.93,6.93,2022-10
2021-01-21,Bhavnagar,Male,36-50,Low,Urban,105.69,103.83,1.86,1.76,2021-01
2023-04-21,Other,Male,0-17,Middle,Urban,90.81,83.37,7.44,8.2,2023-04
2021-06-16,Gandhinagar,Female,51-65,Middle,Urban,126.08,110.05,16.04,12.72,2021-06
2024-07-21,Vadodara,Female,66+,Upper-middle,Urban,156.17,145.13,11.03,7.07,2024-07
2022-01-23,Surat,Female,18-25,Upper-middle,Rural,96.48,85.72,10.76,11.15,2022-01
2022-08-24,Ahmedabad,Female,36-50,Low,Rural,68.79,60.19,8.6,12.5,2022-08
2021-11-12,Other,Female,26-35,Low,Urban,42.41,39.6,2.81,6.62,2021-11
2021-01-14,Other,Female,0-17,Low,Urban,71.75,65.28,6.47,9.02,2021-01
2021-08-30,Surat,Male,66+,Lower-middle,Rural,66.25,57.8,8.45,12.76,2021-08
2023-02-16,Rajkot,Female,0-17,Lower-middle,Urban,74.04,66.7,7.34,9.91,2023-02
2024-10-01,Other,Male,0-17,Lower-middle,Rural,66.74,59.07,7.67,11.49,2024-10
2022-07-19,Vadodara,Male,51-65,Low,Urban,136.11,115.85,20.26,14.88,2022-07
2023-06-17,Surat,Female,0-17,Upper-middle,Urban,125.76,120.02,5.74,4.57,2023-06
2024-09-25,Other,Male,36-50,Low,Urban,80.21,71.21,9.0,11.22,2024-09
2021-04-02,Rajkot,Female,51-65,Low,Rural,97.25,96.65,0.6,0.61,2021-04
2024-10-22,Surat,Male,26-35,Middle,Rural,89.54,81.17,8.38,9.35,2024-10
2023-08-14,Gandhinagar,Male,0-17,Lower-middle,Rural,85.61,80.8,4.8,5.61,2023-08
2024-12-22,Other,Female,18-25,Middle,Rural,104.57,96.15,8.42,8.05,2024-12
2022-05-24,Other,Male,51-65,Lower-middle,Rural,117.44,110.32,7.12,6.06,2022-05
2023-02-15,Vadodara,Male,26-35,Middle,Urban,143.32,143.32,0.0,0.0,2023-02
2021-02-04,Other,Male,26-35,Upper-middle,Urban,166.11,148.51,17.6,10.6,2021-02
2021-07-25,Other,Other,0-17,Low,Urban,25.87,23.17,2.7,10.43,2021-07
2024-01-10,Rajkot,Male,51-65,Middle,Urban,137.81,129.92,7.89,5.72,2024-01
2024-11-12,Bhavnagar,Male,26-35,Upper-middle,Urban,152.25,136.76,15.49,10.18,2024-11
2023-10-23,Vadodara,Female,26-35,High,Rural,117.01,107.32,9.69,8.28,2023-10
2023-10-19,Other,Female,26-35,Low,Urban,80.04,68.75,11.29,14.1,2023-10
2024-11-14,Ahmedabad,Female,36-50,Lower-middle,Rural,104.52,93.53,10.99,10.51,2024-11
2022-07-20,Ahmedabad,Male,18-25,Lower-middle,Rural,94.7,82.39,12.3,12.99,2022-07
2024-02-04,Other,Female,51-65,Lower-middle,Urban,65.37,59.75,5.62,8.6,2024-02
2022-12-04,Other,Female,0-17,Low,Rural,70.25,66.42,3.83,5.46,2022-12
2022-02-06,Ahmedabad,Male,0-17,Upper-middle,Rural,153.85,145.25,8.6,5.59,2022-02
2022-12-31,Surat,Male,0-17,Lower-middle,Urban,128.99,119.12,9.87,7.65,2022-12
2021-06-11,Other,Female,0-17,High,Urban,188.83,171.43,17.4,9.21,2021-06
2021-07-21,Ahmedabad,Female,26-35,Lower-middle,Urban,116.42,103.71,12.71,10.91,2021-07
2023-09-23,Ahmedabad,Female,0-17,Lower-middle,Rural,74.7,64.78,9.91,13.27,2023-09
2021-09-27,Bhavnagar,Female,18-25,Lower-middle,Rural,71.43,63.82,7.61,10.66,2021-09
2023-03-27,Ahmedabad,Female,66+,Low,Urban,47.54,39.01,8.52,17.93,2023-03
