store_id,total_units,total_revenue,total_cost,total_profit,avg_margin_pct,median_income,population,annual_margin_pct,revenue_tier,margin_tier
S032,3406,34411.22582716389,16863.08870629762,17548.13712086627,50.686035917831305,68522.78184508938,21785,50.995385078708644,High,Medium
S021,3230,33968.37165722394,15239.929939719243,18728.441717504702,54.39830556998525,64656.48768921554,21806,55.13494113434132,High,High
S004,3123,31855.30023221941,16397.43529205274,15457.864940166672,47.540969976951864,65230.29856408025,23058,48.52525271299161,High,Low
S048,3071,30581.737196519414,15240.81317217734,15340.924024342074,50.090245917410726,60571.222262189156,21305,50.16367751040664,High,Medium
S003,2840,29552.7797405952,13626.355343395051,15926.42439720015,53.57301662044738,56476.88538100693,16615,53.89145974421757,High,High
S008,2704,29310.57599941006,12880.871045677137,16429.704953732922,55.31166199188842,57674.34729152909,18453,56.05384539035878,High,High
S007,3006,28547.087581309814,14969.653613374823,13577.433967934989,46.50863785998863,65792.12815507391,15803,47.56153821037887,High,Low
S035,2955,28461.22737275349,15103.59169366491,13357.635679088578,46.41502432823514,58225.44912103189,15957,46.93274644886227,High,Low
S001,2683,28304.063564602526,12978.164040494681,15325.899524107845,54.1613711913107,54967.14153011233,21620,54.14734703773997,High,High
S013,2499,27238.5087065163,12788.321735771598,14450.1869707447,52.955406482083724,52419.62271566034,14468,53.05058043536637,High,High
S041,2831,27124.04450925654,13775.859647851965,13348.184861404574,48.63445184779338,57384.665799954106,20485,49.21163160917716,High,Low
S010,2572,26754.319365154282,13356.85144138622,13397.467923768063,49.31730879950593,55425.60043585965,24877,50.07590640192989,High,Medium
S042,2480,26523.542560015394,12648.750819598123,13874.791740417271,52.072286106118554,51713.68281189971,24843,52.31123146171927,High,High
S026,2535,26361.195812820933,12909.824500858633,13451.371311962303,50.175234638643566,51109.22589709866,24109,51.027166625802856,High,Medium
S005,2488,25907.921806234357,12125.407365236915,13782.514440997444,52.37789989720729,47658.46625276664,25154,53.19807024305935,High,High
S049,2597,25882.619143960066,12407.861788397202,13474.757355562862,50.91856403182223,53436.182895684615,20025,52.061027056866905,High,High
S018,2581,24939.2018499254,13307.203258313732,11631.99859161167,45.915063823381246,53142.47332595274,25017,46.64142285550515,High,Low
S043,2351,24766.25605628152,11885.7779026183,12880.478153663218,51.53554822260563,48843.517176117595,16489,52.00817646555953,Medium,High
S037,2508,24287.004123925242,12911.358768703307,11375.645355221937,45.97942380671549,52088.63595004755,24577,46.83840500531613,Medium,Low
S023,2364,24003.654881382306,11810.90668644329,12192.748194939017,50.25452018184876,50675.28204687924,19820,50.795382016577584,Medium,Medium
S028,2483,23919.290348120874,12581.407259943424,11337.883088177452,47.18959973237571,53756.98018345672,18504,47.40058305729864,Medium,Low
S030,2340,23704.496982353685,11677.36754957855,12027.129432775135,49.93910830677495,47083.06250206723,10062,50.73775428235612,Medium,Medium
S040,2430,23156.3871433322,12232.642203484913,10923.744939847287,46.740650912610505,51968.612358691236,22566,47.17378782895648,Medium,Low
S031,2268,22702.501216149318,11284.418919514701,11418.082296634619,50.19333041473708,43982.93387770603,18901,50.29438028842576,Medium,Medium
S022,2231,22091.35278885062,10747.276411447232,11344.076377403391,51.343335185981,47742.23699513464,27690,51.35075468591802,Medium,High
S044,2201,22012.721082163964,10892.602296673116,11120.118785490848,50.33533822943386,46988.96304410711,18361,50.5167841085355,Medium,Medium
S033,2209,21690.251516579767,10716.798031738383,10973.453484841382,50.107634876295556,49865.02775262066,27389,50.59163779845248,Medium,Medium
S002,2267,21585.723840759536,11466.285426899767,10119.438413859769,46.41969964633778,48617.35698828816,18074,46.88023662542927,Medium,Low
S009,2186,21522.632624143174,11116.34028600506,10406.292338138117,47.98905120976724,45305.256140650476,21656,48.35046213846898,Medium,Low
S047,2167,21512.862423269602,10622.02206740106,10890.84035586854,49.03999411083541,45393.612290402125,21480,50.62478503134178,Medium,Medium
S006,2210,21339.069521967784,10552.995726459938,10786.073795507844,49.93722787532824,47658.630430508194,24656,50.54612987883085,Medium,Medium
S029,2105,21122.910587922976,10760.989484894242,10361.921103028733,48.20976051417751,43993.61310081195,20458,49.05536602021675,Medium,Low
S016,2115,20932.048312351366,11103.674539479596,9828.373772871772,46.46087987811507,44377.12470759027,26781,46.95371244233345,Medium,Low
