Customer_ID,Age_Group,Gender,Region,Annual_Income_£k
1,45-54,Female,Midlands,40-60
2,25-34,Male,North England,20-40
3,35-44,Female,South England,<20
4,35-44,Female,Midlands,20-40
5,35-44,Female,North England,20-40
6,55-64,Female,London,80+
7,25-34,Male,Scotland,<20
8,45-54,Male,South England,20-40
9,45-54,Female,North England,40-60
10,18-24,Male,Wales,40-60
11,45-54,Male,London,<20
12,25-34,Female,Scotland,<20
13,18-24,Female,London,80+
14,65+,Female,North England,40-60
15,65+,Male,Midlands,20-40
16,55-64,Male,Scotland,40-60
17,35-44,Female,London,20-40
18,18-24,Female,Midlands,20-40
19,45-54,Female,South England,40-60
20,35-44,Female,North England,80+
21,25-34,Female,North England,20-40
22,35-44,Female,Scotland,60-80
23,18-24,Male,London,<20
24,65+,Female,South England,20-40
25,25-34,Female,Wales,<20
26,45-54,Female,Scotland,<20
27,35-44,Female,Wales,80+
28,45-54,Female,Scotland,40-60
29,45-54,Male,London,<20
30,25-34,Female,South England,80+
31,65+,Male,London,60-80
32,55-64,Female,North England,60-80
33,65+,Male,Wales,80+
34,65+,Male,Midlands,20-40
35,45-54,Male,North England,60-80
36,65+,Female,North England,40-60
37,18-24,Male,Wales,60-80
38,25-34,Male,Scotland,60-80
39,18-24,Female,North England,20-40
40,35-44,Male,South England,60-80
41,35-44,Female,North England,20-40
42,25-34,Female,South England,20-40
43,55-64,Female,London,<20
44,35-44,Male,Scotland,80+
45,35-44,Female,South England,20-40
46,45-54,Male,North England,40-60
47,25-34,Male,Scotland,20-40
48,55-64,Male,Scotland,80+
49,18-24,Female,South England,20-40
50,65+,Male,South England,60-80
51,55-64,Female,Midlands,60-80
52,25-34,Female,Midlands,20-40
53,18-24,Female,Scotland,20-40
54,55-64,Male,Wales,60-80
55,55-64,Female,Wales,80+
56,55-64,Female,Midlands,60-80
57,55-64,Female,North England,20-40
58,18-24,Male,London,80+
59,35-44,Female,Scotland,20-40
60,25-34,Male,London,40-60
61,55-64,Male,Midlands,60-80
62,45-54,Male,South England,20-40
63,35-44,Female,Scotland,60-80
64,18-24,Male,Midlands,40-60
65,35-44,Male,North England,80+
66,35-44,Female,Scotland,20-40
67,55-64,Female,Scotland,20-40
68,45-54,Male,Wales,60-80
69,65+,Female,South England,<20
70,35-44,Male,Scotland,<20
71,25-34,Male,South England,80+
72,55-64,Male,Midlands,20-40
73,55-64,Female,North England,80+
74,45-54,Male,North England,20-40
75,55-64,Male,Scotland,20-40
76,35-44,Male,Scotland,60-80
77,45-54,Female,Midlands,40-60
78,35-44,Male,Wales,40-60
79,18-24,Male,Wales,40-60
80,25-34,Male,Wales,60-80
81,18-24,Male,South England,20-40
82,45-54,Female,Wales,20-40
83,35-44,Female,North England,20-40
84,45-54,Male,South England,40-60
85,65+,Male,Midlands,20-40
86,25-34,Male,North England,20-40
87,35-44,Male,North England,40-60
88,55-64,Male,London,<20
89,25-34,Female,Midlands,<20
90,18-24,Female,Midlands,40-60
91,35-44,Female,London,20-40
92,25-34,Female,South England,60-80
93,65+,Female,Wales,40-60
94,55-64,Female,Wales,<20
95,45-54,Male,Wales,40-60
96,65+,Female,Wales,<20
97,55-64,Male,Wales,60-80
98,25-34,Female,London,80+
99,65+,Female,Midlands,40-60
100,45-54,Male,South England,40-60
101,55-64,Male,North England,20-40
102,65+,Female,Wales,20-40
103,35-44,Male,London,60-80
104,25-34,Female,South England,20-40
105,25-34,Female,South England,20-40
106,35-44,Female,South England,20-40
107,55-64,Female,London,60-80
108,55-64,Male,North England,20-40
109,18-24,Male,Wales,80+
110,45-54,Female,South England,<20
111,35-44,Female,London,20-40
112,25-34,Female,Midlands,60-80
113,25-34,Male,London,20-40
114,35-44,Male,London,40-60
115,65+,Female,London,20-40
116,35-44,Male,South England,<20
117,45-54,Female,London,<20
118,55-64,Male,Midlands,80+
119,35-44,Female,South England,40-60
120,65+,Female,Midlands,60-80
121,65+,Female,Scotland,20-40
122,25-34,Male,London,40-60
123,35-44,Female,Wales,40-60
124,35-44,Female,Wales,80+
125,35-44,Male,South England,60-80
126,18-24,Female,Wales,60-80
127,45-54,Female,South England,<20
128,45-54,Female,London,40-60
129,18-24,Female,North England,40-60
130,25-34,Male,North England,80+
131,65+,Male,Midlands,20-40
132,25-34,Male,London,20-40
133,25-34,Female,Wales,20-40
134,35-44,Female,London,20-40
135,65+,Female,Scotland,<20
136,25-34,Male,North England,60-80
137,45-54,Male,Wales,40-60
138,55-64,Female,North England,60-80
139,25-34,Male,London,60-80
140,55-64,Male,Wales,20-40
141,35-44,Female,Midlands,40-60
142,45-54,Male,London,<20
143,45-54,Male,Midlands,80+
144,45-54,Male,Wales,20-40
145,18-24,Male,North England,20-40
146,55-64,Other,Scotland,20-40
147,35-44,Male,South England,40-60
148,25-34,Male,North England,20-40
149,18-24,Male,Midlands,20-40
150,45-54,Female,London,60-80
151,45-54,Male,Wales,60-80
152,18-24,Female,North England,20-40
153,45-54,Male,Scotland,40-60
154,25-34,Male,Wales,60-80
155,45-54,Male,Midlands,<20
156,25-34,Female,Wales,80+
157,45-54,Female,Wales,20-40
158,35-44,Male,London,40-60
159,65+,Female,South England,40-60
160,25-34,Female,Midlands,40-60
161,35-44,Male,London,60-80
162,25-34,Female,South England,<20
163,65+,Male,London,20-40
164,65+,Female,South England,40-60
165,25-34,Female,South England,60-80
166,45-54,Female,South England,20-40
167,55-64,Female,London,60-80
168,45-54,Male,Wales,20-40
169,45-54,Female,South England,20-40
170,25-34,Male,Wales,60-80
171,18-24,Male,Midlands,<20
172,65+,Female,Scotland,40-60
173,65+,Female,Wales,<20
174,45-54,Female,Scotland,20-40
175,35-44,Male,South England,40-60
176,35-44,Female,Scotland,40-60
177,55-64,Female,Scotland,20-40
178,65+,Male,South England,20-40
179,65+,Male,Wales,20-40
180,55-64,Male,South England,40-60
181,45-54,Male,Midlands,80+
182,18-24,Other,North England,60-80
183,25-34,Female,London,<20
184,65+,Female,South England,<20
185,45-54,Female,South England,80+
186,18-24,Male,Scotland,40-60
187,25-34,Female,Midlands,40-60
188,45-54,Male,Scotland,60-80
189,18-24,Female,Wales,20-40
190,25-34,Male,South England,40-60
191,45-54,Female,South England,80+
192,45-54,Male,Scotland,40-60
193,45-54,Male,South England,20-40
194,25-34,Female,Wales,<20
195,55-64,Male,North England,20-40
196,25-34,Female,London,60-80
197,35-44,Male,London,20-40
198,55-64,Female,London,<20
199,45-54,Male,North England,80+
200,55-64,Male,South England,20-40
201,45-54,Male,Scotland,<20
202,45-54,Male,Midlands,20-40
203,18-24,Male,South England,20-40
204,35-44,Male,North England,20-40
205,25-34,Male,Wales,80+
206,25-34,Male,North England,60-80
207,65+,Female,London,40-60
208,35-44,Female,South England,20-40
209,65+,Male,London,40-60
210,45-54,Female,Midlands,20-40
211,55-64,Female,Wales,<20
212,45-54,Male,London,80+
213,45-54,Female,Midlands,20-40
214,35-44,Male,North England,20-40
215,25-34,Female,London,40-60
216,55-64,Male,London,40-60
217,35-44,Female,Scotland,<20
218,18-24,Female,Wales,<20
219,45-54,Male,Wales,20-40
220,25-34,Male,North England,40-60
221,65+,Female,Scotland,20-40
222,65+,Male,Midlands,20-40
223,65+,Female,Midlands,40-60
224,35-44,Female,North England,80+
225,18-24,Female,Wales,20-40
226,65+,Female,Midlands,<20
227,35-44,Female,North England,40-60
228,65+,Female,Midlands,60-80
229,65+,Male,South England,<20
230,55-64,Male,London,20-40
231,35-44,Male,Wales,<20
232,35-44,Female,South England,<20
233,55-64,Female,North England,40-60
234,35-44,Male,North England,20-40
235,25-34,Female,South England,60-80
236,45-54,Female,London,40-60
237,65+,Male,London,40-60
238,45-54,Female,Scotland,20-40
239,45-54,Male,Midlands,40-60
240,18-24,Female,Scotland,<20
241,45-54,Male,London,80+
242,65+,Female,South England,80+
243,25-34,Female,Midlands,20-40
244,45-54,Male,South England,<20
245,65+,Female,Scotland,<20
246,55-64,Female,North England,40-60
247,45-54,Male,South England,40-60
248,55-64,Male,Scotland,60-80
249,35-44,Female,Scotland,60-80
250,35-44,Male,Scotland,20-40
251,55-64,Male,North England,40-60
252,55-64,Male,North England,40-60
253,55-64,Male,North England,40-60
254,65+,Female,Midlands,40-60
255,45-54,Male,North England,40-60
256,45-54,Male,North England,40-60
257,55-64,Male,North England,40-60
258,45-54,Male,South England,40-60
259,55-64,Female,North England,60-80
260,55-64,Male,Midlands,40-60
261,65+,Other,Scotland,40-60
262,35-44,Female,South England,40-60
263,35-44,Male,London,20-40
264,18-24,Female,North England,20-40
265,45-54,Male,Scotland,<20
266,18-24,Female,Scotland,40-60
267,35-44,Other,South England,40-60
268,45-54,Male,London,80+
269,35-44,Male,Wales,20-40
270,45-54,Female,Midlands,20-40
271,18-24,Male,Wales,20-40
272,18-24,Male,Scotland,<20
273,55-64,Male,Wales,60-80
274,35-44,Male,Scotland,20-40
275,25-34,Female,Wales,40-60
276,45-54,Male,Scotland,40-60
277,55-64,Male,Scotland,40-60
278,25-34,Female,South England,60-80
279,45-54,Male,London,20-40
280,18-24,Male,Scotland,20-40
281,18-24,Female,Midlands,80+
282,45-54,Male,Midlands,60-80
283,45-54,Female,North England,20-40
284,45-54,Female,Scotland,<20
285,55-64,Male,Scotland,<20
286,65+,Female,Scotland,20-40
287,45-54,Male,Wales,80+
288,35-44,Male,Scotland,40-60
289,55-64,Female,Scotland,20-40
290,25-34,Female,Midlands,80+
291,35-44,Male,London,40-60
292,18-24,Female,London,20-40
293,18-24,Female,North England,80+
294,65+,Female,Midlands,60-80
295,55-64,Female,Scotland,60-80
296,45-54,Male,London,40-60
297,35-44,Male,South England,60-80
298,25-34,Female,South England,20-40
299,25-34,Male,South England,40-60
300,25-34,Female,Scotland,80+
301,45-54,Male,Scotland,20-40
302,55-64,Male,North England,60-80
303,45-54,Male,North England,40-60
304,25-34,Other,North England,<20
305,65+,Male,Wales,60-80
306,55-64,Female,South England,20-40
307,45-54,Male,Scotland,40-60
308,45-54,Male,South England,<20
309,35-44,Male,North England,80+
310,25-34,Female,Scotland,20-40
311,35-44,Male,Midlands,20-40
312,55-64,Male,London,<20
313,18-24,Male,London,80+
314,25-34,Male,North England,60-80
315,18-24,Female,South England,60-80
316,18-24,Female,Midlands,40-60
317,55-64,Male,Scotland,40-60
318,55-64,Female,South England,<20
319,35-44,Female,North England,40-60
320,18-24,Male,South England,20-40
321,35-44,Female,North England,80+
322,35-44,Female,Wales,60-80
323,25-34,Male,London,20-40
324,35-44,Male,London,20-40
325,35-44,Female,South England,60-80
326,45-54,Female,Midlands,<20
327,45-54,Male,Scotland,20-40
328,18-24,Male,North England,20-40
329,35-44,Male,Scotland,40-60
330,45-54,Female,London,60-80
331,45-54,Female,Midlands,20-40
332,55-64,Other,Midlands,<20
333,45-54,Male,Scotland,40-60
334,25-34,Female,London,60-80
335,18-24,Female,Scotland,20-40
336,45-54,Male,South England,20-40
337,18-24,Male,Midlands,80+
338,45-54,Female,Midlands,80+
339,65+,Female,South England,80+
340,45-54,Female,London,60-80
341,35-44,Female,Midlands,20-40
342,45-54,Male,Wales,20-40
343,35-44,Female,Wales,20-40
344,45-54,Female,Wales,20-40
345,65+,Female,North England,80+
346,35-44,Other,North England,60-80
347,65+,Female,London,60-80
348,65+,Male,South England,20-40
349,25-34,Female,Scotland,80+
350,18-24,Male,London,60-80
351,25-34,Male,Scotland,20-40
352,18-24,Male,London,60-80
353,18-24,Male,North England,20-40
354,45-54,Female,Wales,<20
355,18-24,Female,South England,40-60
356,35-44,Female,North England,40-60
357,55-64,Female,South England,<20
358,18-24,Male,Scotland,20-40
359,55-64,Female,London,80+
360,35-44,Male,Midlands,40-60
361,25-34,Male,Midlands,60-80
362,45-54,Female,South England,20-40
363,45-54,Male,Wales,<20
364,65+,Male,Wales,20-40
365,55-64,Female,South England,20-40
366,55-64,Female,North England,20-40
367,35-44,Male,Midlands,20-40
368,25-34,Female,North England,40-60
369,55-64,Female,Scotland,20-40
370,55-64,Female,Midlands,60-80
371,65+,Male,Scotland,20-40
372,35-44,Female,London,40-60
373,35-44,Female,North England,<20
374,55-64,Female,South England,40-60
375,35-44,Female,Midlands,<20
376,65+,Male,North England,80+
377,55-64,Male,South England,60-80
378,35-44,Male,London,40-60
379,55-64,Male,Midlands,<20
380,55-64,Female,Scotland,40-60
381,25-34,Male,London,60-80
382,65+,Female,Wales,20-40
383,45-54,Female,South England,40-60
384,55-64,Male,Midlands,60-80
385,35-44,Male,Midlands,60-80
386,65+,Female,London,60-80
387,35-44,Female,Midlands,60-80
388,18-24,Male,South England,80+
389,65+,Male,London,20-40
390,18-24,Female,Scotland,40-60
391,35-44,Female,London,60-80
392,65+,Male,London,40-60
393,65+,Female,Scotland,80+
394,45-54,Male,Wales,<20
