Customer_ID,Age_Group,Gender,Region,Annual_Income_£k,Annual_Purchases
1,45-54,Female,Midlands,40-60,9
2,25-34,Male,North England,20-40,7
3,35-44,Female,South England,<20,11
4,35-44,Female,Midlands,20-40,16
5,35-44,Female,North England,20-40,15
6,55-64,Female,London,80+,5
7,25-34,Male,Scotland,<20,10
8,45-54,Male,South England,20-40,9
9,45-54,Female,North England,40-60,13
10,18-24,Male,Wales,40-60,13
11,45-54,Male,London,<20,9
12,25-34,Female,Scotland,<20,13
13,18-24,Female,London,80+,11
14,65+,Female,North England,40-60,19
15,65+,Male,Midlands,20-40,15
16,55-64,Male,Scotland,40-60,11
17,35-44,Female,London,20-40,11
18,18-24,Female,Midlands,20-40,11
19,45-54,Female,South England,40-60,14
20,35-44,Female,North England,80+,10
21,25-34,Female,North England,20-40,8
22,35-44,Female,Scotland,60-80,8
23,18-24,Male,London,<20,14
24,65+,Female,South England,20-40,17
25,25-34,Female,Wales,<20,9
26,45-54,Female,Scotland,<20,12
27,35-44,Female,Wales,80+,13
28,45-54,Female,Scotland,40-60,11
29,45-54,Male,London,<20,13
30,25-34,Female,South England,80+,11
31,65+,Male,London,60-80,12
32,55-64,Female,North England,60-80,11
33,65+,Male,Wales,80+,17
34,65+,Male,Midlands,20-40,13
35,45-54,Male,North England,60-80,13
36,65+,Female,North England,40-60,12
37,18-24,Male,Wales,60-80,8
38,25-34,Male,Scotland,60-80,15
39,18-24,Female,North England,20-40,17
40,35-44,Male,South England,60-80,12
41,35-44,Female,North England,20-40,12
42,25-34,Female,South England,20-40,7
43,55-64,Female,London,<20,14
44,35-44,Male,Scotland,80+,15
45,35-44,Female,South England,20-40,13
46,45-54,Male,North England,40-60,12
47,25-34,Male,Scotland,20-40,6
48,55-64,Male,Scotland,80+,12
49,18-24,Female,South England,20-40,16
50,65+,Male,South England,60-80,14
51,55-64,Female,Midlands,60-80,9
52,25-34,Female,Midlands,20-40,6
53,18-24,Female,Scotland,20-40,10
54,55-64,Male,Wales,60-80,9
55,55-64,Female,Wales,80+,12
56,55-64,Female,Midlands,60-80,4
57,55-64,Female,North England,20-40,11
58,18-24,Male,London,80+,14
59,35-44,Female,Scotland,20-40,10
60,25-34,Male,London,40-60,12
61,55-64,Male,Midlands,60-80,10
62,45-54,Male,South England,20-40,12
63,35-44,Female,Scotland,60-80,16
64,18-24,Male,Midlands,40-60,12
65,35-44,Male,North England,80+,7
66,35-44,Female,Scotland,20-40,15
67,55-64,Female,Scotland,20-40,7
68,45-54,Male,Wales,60-80,14
69,65+,Female,South England,<20,8
70,35-44,Male,Scotland,<20,8
71,25-34,Male,South England,80+,14
72,55-64,Male,Midlands,20-40,7
73,55-64,Female,North England,80+,10
74,45-54,Male,North England,20-40,15
75,55-64,Male,Scotland,20-40,14
76,35-44,Male,Scotland,60-80,15
77,45-54,Female,Midlands,40-60,8
78,35-44,Male,Wales,40-60,10
79,18-24,Male,Wales,40-60,5
80,25-34,Male,Wales,60-80,14
81,18-24,Male,South England,20-40,10
82,45-54,Female,Wales,20-40,7
83,35-44,Female,North England,20-40,10
84,45-54,Male,South England,40-60,16
85,65+,Male,Midlands,20-40,18
86,25-34,Male,North England,20-40,18
87,35-44,Male,North England,40-60,13
88,55-64,Male,London,<20,15
89,25-34,Female,Midlands,<20,12
90,18-24,Female,Midlands,40-60,11
91,35-44,Female,London,20-40,13
92,25-34,Female,South England,60-80,11
93,65+,Female,Wales,40-60,7
94,55-64,Female,Wales,<20,18
95,45-54,Male,Wales,40-60,10
96,65+,Female,Wales,<20,13
97,55-64,Male,Wales,60-80,12
98,25-34,Female,London,80+,16
99,65+,Female,Midlands,40-60,9
100,45-54,Male,South England,40-60,8
101,55-64,Male,North England,20-40,10
102,65+,Female,Wales,20-40,20
103,35-44,Male,London,60-80,15
104,25-34,Female,South England,20-40,11
105,25-34,Female,South England,20-40,7
106,35-44,Female,South England,20-40,11
107,55-64,Female,London,60-80,9
108,55-64,Male,North England,20-40,14
109,18-24,Male,Wales,80+,8
110,45-54,Female,South England,<20,13
111,35-44,Female,London,20-40,7
112,25-34,Female,Midlands,60-80,14
113,25-34,Male,London,20-40,12
114,35-44,Male,London,40-60,12
115,65+,Female,London,20-40,14
116,35-44,Male,South England,<20,12
117,45-54,Female,London,<20,16
118,55-64,Male,Midlands,80+,9
119,35-44,Female,South England,40-60,10
120,65+,Female,Midlands,60-80,10
121,65+,Female,Scotland,20-40,4
122,25-34,Male,London,40-60,10
123,35-44,Female,Wales,40-60,6
124,35-44,Female,Wales,80+,12
125,35-44,Male,South England,60-80,18
126,18-24,Female,Wales,60-80,9
127,45-54,Female,South England,<20,12
128,45-54,Female,London,40-60,11
129,18-24,Female,North England,40-60,18
130,25-34,Male,North England,80+,12
131,65+,Male,Midlands,20-40,8
132,25-34,Male,London,20-40,10
133,25-34,Female,Wales,20-40,15
134,35-44,Female,London,20-40,9
135,65+,Female,Scotland,<20,13
136,25-34,Male,North England,60-80,11
137,45-54,Male,Wales,40-60,13
138,55-64,Female,North England,60-80,13
139,25-34,Male,London,60-80,15
140,55-64,Male,Wales,20-40,10
141,35-44,Female,Midlands,40-60,9
142,45-54,Male,London,<20,12
143,45-54,Male,Midlands,80+,7
144,45-54,Male,Wales,20-40,17
145,18-24,Male,North England,20-40,13
146,55-64,Other,Scotland,20-40,7
147,35-44,Male,South England,40-60,12
148,25-34,Male,North England,20-40,11
149,18-24,Male,Midlands,20-40,9
150,45-54,Female,London,60-80,9
151,45-54,Male,Wales,60-80,12
152,18-24,Female,North England,20-40,9
153,45-54,Male,Scotland,40-60,9
154,25-34,Male,Wales,60-80,20
155,45-54,Male,Midlands,<20,11
156,25-34,Female,Wales,80+,14
157,45-54,Female,Wales,20-40,17
158,35-44,Male,London,40-60,12
159,65+,Female,South England,40-60,19
160,25-34,Female,Midlands,40-60,17
161,35-44,Male,London,60-80,15
162,25-34,Female,South England,<20,24
163,65+,Male,London,20-40,7
164,65+,Female,South England,40-60,11
165,25-34,Female,South England,60-80,10
166,45-54,Female,South England,20-40,9
167,55-64,Female,London,60-80,5
168,45-54,Male,Wales,20-40,15
169,45-54,Female,South England,20-40,9
170,25-34,Male,Wales,60-80,6
171,18-24,Male,Midlands,<20,14
172,65+,Female,Scotland,40-60,10
173,65+,Female,Wales,<20,13
174,45-54,Female,Scotland,20-40,10
175,35-44,Male,South England,40-60,19
176,35-44,Female,Scotland,40-60,10
177,55-64,Female,Scotland,20-40,12
178,65+,Male,South England,20-40,10
179,65+,Male,Wales,20-40,13
180,55-64,Male,South England,40-60,7
181,45-54,Male,Midlands,80+,10
182,18-24,Other,North England,60-80,18
183,25-34,Female,London,<20,12
184,65+,Female,South England,<20,12
185,45-54,Female,South England,80+,14
186,18-24,Male,Scotland,40-60,10
187,25-34,Female,Midlands,40-60,11
188,45-54,Male,Scotland,60-80,14
189,18-24,Female,Wales,20-40,9
190,25-34,Male,South England,40-60,15
191,45-54,Female,South England,80+,11
